api_version,time_stamp,data_time_stamp,sensor_index,last_modified,date_created,last_seen,private,is_owner,name,icon,location_type,model,hardware,led_brightness,firmware_version,rssi,uptime,pa_latency,memory,position_rating,latitude,longitude,altitude,channel_state,channel_flags,channel_flags_manual,channel_flags_auto,confidence,confidence_auto,confidence_manual,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_b,analog_input,pm1.0,pm1.0_a,pm1.0_b,pm1.0_atm,pm1.0_cf_1,pm2.5,pm2.5_a,pm2.5_b,pm2.5_atm,pm2.5_cf_1,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm10.0,pm10.0_a,pm10.0_b,pm10.0_atm,pm10.0_cf_1,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_atm_a,pm2.5_atm_a,pm10.0_atm_a,pm1.0_cf_1_a,pm2.5_cf_1_a,pm10.0_cf_1_a,pm1.0_atm_b,pm2.5_atm_b,pm10.0_atm_b,pm1.0_cf_1_b,pm2.5_cf_1_b,pm10.0_cf_1_b,primary_id_a,primary_key_a,primary_id_b,primary_key_b,secondary_id_a,secondary_key_a,secondary_id_b,secondary_key_b,pm2.5,pm2.5_10minute,pm2.5_30minute,pm2.5_60minute,pm2.5_6hour,pm2.5_24hour,pm2.5_1week,time_stamp,pm2.5,pm2.5_10minute,pm2.5_30minute,pm2.5_60minute,pm2.5_6hour,pm2.5_24hour,pm2.5_1week,time_stamp,pm2.5,pm2.5_10minute,pm2.5_30minute,pm2.5_60minute,pm2.5_6hour,pm2.5_24hour,pm2.5_1week,time_stamp
V1.0.11-0.0.27,7/13/2022 8:10,7/13/2022 8:09,151708,7/12/2022 14:18,6/29/2022 8:29,7/13/2022 8:08,0,0,NH1,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+BME680+PMSX003-B+PMSX003-A,35,7,-75,2816,294,15072,5,43.192066,-71.54151,288,3,0,0,0,100,100,100,69,70,68,75,75,76,1001.33,1000.99,1001.67,86.4,86.39,0,4.4,4.1,4.6,4.4,4.4,8.3,7.7,8.9,8.3,8.3,5.2,5,5.4,8.9,8,9.8,8.9,8.9,None,None,None,None,None,None,None,None,None,530,563,497,456,449,463,45,42,49,0,0,0,0,0,0,0,0,0,4.08,7.73,8.02,4.08,7.73,8.02,4.64,8.89,9.82,4.64,8.89,9.82,1784473,RECLPTF41NFVAGZS,1784475,F5P8XN29WYFV4N87,1784474,SX1Z89WJKRZTSAKK,1784476,7LDKL9Q9YP56VMU9,8.3,7.8,7.9,8.2,8.2,5,1,7/13/2022 8:10,8.3,7.8,7.9,8.2,8.2,5,1,7/13/2022 8:10,8.3,7.8,7.9,8.2,8.2,5,1,7/13/2022 8:10
V1.0.11-0.0.27,7/13/2022 8:10,7/13/2022 8:09,143456,5/7/2022 10:46,1/25/2022 17:50,7/13/2022 8:09,0,0,Junder22,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7,-76,32461,262,15672,5,43.08963,-71.50244,619,3,0,0,0,100,100,100,69,69,None,74,74,None,990.37,990.37,None,None,None,0.01,6.6,6.4,6.9,6.6,6.6,8.2,7.6,8.9,8.2,8.2,5.4,5.2,5.7,8.3,7.7,8.9,8.3,8.3,19.2,19.2,19.3,12,11.9,12,117.9,118.1,117.8,1281,1279,1284,355,340,371,47,45,49,0,1,0,0,0,0,0,0,0,6.36,7.55,7.69,6.36,7.55,7.69,6.93,8.93,8.93,6.93,8.93,8.93,1640321,DUQ1DHALIEN6DQPZ,1640325,6S4L2IFWG5GLNKG5,1640323,SJBIKJUCN4Z46AL6,1640326,GEK1ZZUK8JCHMIDW,8.2,9.1,9.4,9.8,10.6,8.1,5.8,7/13/2022 8:10,8.2,9.1,9.4,9.8,10.6,8.1,5.8,7/13/2022 8:10,8.2,9.1,9.4,9.8,10.6,8.1,5.8,7/13/2022 8:10
V1.0.11-0.0.27,7/13/2022 8:10,7/13/2022 8:09,151702,7/8/2022 11:10,6/29/2022 8:29,7/13/2022 8:07,0,0,NHDES_katerr,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7,-78,7096,231,15184,0,43.11861,-71.61618,885,3,0,0,0,100,100,100,49,49,None,80,80,None,979.89,979.89,None,None,None,0.01,6.8,6.7,6.9,6.8,6.8,9.8,10.4,9.3,9.8,9.8,6.8,6.8,6.8,9.9,10.4,9.3,9.9,9.9,23.4,23.1,23.7,13.4,13.3,13.5,102.5,103.5,101.5,1558,1538,1579,418,421,416,63,65,62,2,3,1,0,0,0,0,0,0,6.73,10.35,10.43,6.73,10.35,10.43,6.88,9.28,9.3,6.88,9.28,9.3,1784461,A0IJ036DV9SKCFLE,1784463,71A9CZ5UJ4YGTUQ2,1784462,E3XRJRWK9NZW79YP,1784464,NDDV7IN0FIAG3DCJ,9.8,9.8,9.8,9.8,10.5,8.1,2.2,7/13/2022 8:10,9.8,9.8,9.8,9.8,10.5,8.1,2.2,7/13/2022 8:10,9.8,9.8,9.8,9.8,10.5,8.1,2.2,7/13/2022 8:10
V1.0.11-0.0.27,7/13/2022 8:10,7/13/2022 8:09,151700,7/11/2022 9:59,6/29/2022 8:28,7/13/2022 8:08,0,0,"12 Noyes Street, Concord, NH",0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7,-67,2782,297,15184,5,43.19211,-71.54146,286,3,0,0,0,100,100,100,71,71,None,73,73,None,1000.89,1000.89,None,None,None,0.01,8.5,8.8,8.1,8.5,8.5,12,12,12.1,12,12,8.1,7.6,8.5,12.6,12.4,12.9,12.6,12.6,27.6,28.2,27.1,14.6,14.8,14.5,90.4,88.9,91.8,1842,1881,1804,520,538,502,75,64,87,4,3,6,0,0,1,0,0,0,8.77,11.96,12.41,8.77,11.96,12.41,8.13,12.09,12.89,8.13,12.09,12.89,1784457,PB81KISBP3EXW7K9,1784459,YZIRVQBCBJ133NTL,1784458,9LG3IVPJL6DTYT6P,1784460,0R1GJAA1UYAHT6R9,12,11.4,11.6,11.8,11.3,6.8,1.4,7/13/2022 8:10,12,11.4,11.6,11.8,11.3,6.8,1.4,7/13/2022 8:10,12,11.4,11.6,11.8,11.3,6.8,1.4,7/13/2022 8:10
V1.0.11-0.0.27,7/13/2022 8:20,7/13/2022 8:19,151708,7/12/2022 14:18,6/29/2022 8:29,7/13/2022 8:18,0,0,NH1,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+BME680+PMSX003-B+PMSX003-A,35,7,-75,2826,299,15072,5,43.192066,-71.54151,288,3,0,0,0,100,100,100,68,70,67,76,76,77,1001.46,1001.11,1001.81,80.7,80.72,0,4.8,5.2,4.4,4.8,4.8,7.9,8.2,7.7,7.9,7.9,4.8,4.9,4.7,8.1,8.2,8,8.1,8.1,None,None,None,None,None,None,None,None,None,512,549,475,440,441,440,40,41,39,0,0,0,0,0,0,0,0,0,5.17,8.15,8.23,5.17,8.15,8.23,4.37,7.7,8,4.37,7.7,8,1784473,RECLPTF41NFVAGZS,1784475,F5P8XN29WYFV4N87,1784474,SX1Z89WJKRZTSAKK,1784476,7LDKL9Q9YP56VMU9,7.9,7.7,7.8,8.2,8.2,5,1,7/13/2022 8:20,7.9,7.7,7.8,8.2,8.2,5,1,7/13/2022 8:20,7.9,7.7,7.8,8.2,8.2,5,1,7/13/2022 8:20
V1.0.11-0.0.27,7/13/2022 8:20,7/13/2022 8:19,143456,5/7/2022 10:46,1/25/2022 17:50,7/13/2022 8:19,0,0,Junder22,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7,-76,32471,342,15672,5,43.08963,-71.50244,619,3,0,0,0,100,100,100,66,66,None,74,74,None,990.44,990.44,None,None,None,0.01,6.2,6.1,6.3,6.2,6.2,8.3,8.4,8.2,8.3,8.3,5.6,5.5,5.6,8.9,9.2,8.5,8.9,8.9,18.6,18.7,18.4,11.7,11.8,11.7,120.8,120.3,121.3,1237,1245,1230,343,333,354,52,54,51,2,3,1,0,0,0,0,0,0,6.09,8.37,9.24,6.09,8.37,9.24,6.26,8.25,8.47,6.26,8.25,8.47,1640321,DUQ1DHALIEN6DQPZ,1640325,6S4L2IFWG5GLNKG5,1640323,SJBIKJUCN4Z46AL6,1640326,GEK1ZZUK8JCHMIDW,8.3,8.8,9.3,9.6,10.6,8.1,5.8,7/13/2022 8:20,8.3,8.8,9.3,9.6,10.6,8.1,5.8,7/13/2022 8:20,8.3,8.8,9.3,9.6,10.6,8.1,5.8,7/13/2022 8:20
V1.0.11-0.0.27,7/13/2022 8:20,7/13/2022 8:19,151702,7/8/2022 11:10,6/29/2022 8:29,7/13/2022 8:19,0,0,NHDES_katerr,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7,-78,7108,224,15184,0,43.11861,-71.61618,885,3,0,0,0,100,100,100,57,57,None,81,81,None,980.09,980.09,None,None,None,0.01,6.6,6.7,6.6,6.6,6.6,9.6,10.2,9.1,9.6,9.6,6.9,7,6.8,10.4,10.9,9.8,10.4,10.4,23.9,23.4,24.3,13.5,13.4,13.7,100.9,102.3,99.6,1591,1563,1620,420,412,428,65,68,62,2,3,2,0,1,0,0,0,0,6.72,10.21,10.93,6.72,10.21,10.93,6.55,9.07,9.84,6.55,9.07,9.84,1784461,A0IJ036DV9SKCFLE,1784463,71A9CZ5UJ4YGTUQ2,1784462,E3XRJRWK9NZW79YP,1784464,NDDV7IN0FIAG3DCJ,9.6,9.6,9.7,9.8,10.5,8.1,2.2,7/13/2022 8:20,9.6,9.6,9.7,9.8,10.5,8.1,2.2,7/13/2022 8:20,9.6,9.6,9.7,9.8,10.5,8.1,2.2,7/13/2022 8:20
V1.0.11-0.0.27,7/13/2022 8:20,7/13/2022 8:19,151700,7/11/2022 9:59,6/29/2022 8:28,7/13/2022 8:18,0,0,"12 Noyes Street, Concord, NH",0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7,-70,2792,269,15184,5,43.19211,-71.54146,286,3,0,0,0,100,100,100,70,70,None,74,74,None,1000.96,1000.96,None,None,None,0.01,8.9,9.3,8.5,8.9,8.9,13.2,13,13.4,13.2,13.2,7.6,7.7,7.5,13.8,13.6,14,13.8,13.8,27.3,28.1,26.5,14.5,14.7,14.3,91.3,89.3,93.4,1818,1871,1765,520,535,506,73,71,76,10,8,12,0,0,0,0,0,0,9.31,13.02,13.58,9.31,13.02,13.58,8.49,13.45,14.04,8.49,13.45,14.04,1784457,PB81KISBP3EXW7K9,1784459,YZIRVQBCBJ133NTL,1784458,9LG3IVPJL6DTYT6P,1784460,0R1GJAA1UYAHT6R9,13.2,11.5,11.6,11.8,11.3,6.8,1.4,7/13/2022 8:20,13.2,11.5,11.6,11.8,11.3,6.8,1.4,7/13/2022 8:20,13.2,11.5,11.6,11.8,11.3,6.8,1.4,7/13/2022 8:20
V1.0.11-0.0.27,7/13/2022 8:30,7/13/2022 8:29,151708,7/12/2022 14:18,6/29/2022 8:29,7/13/2022 8:28,0,0,NH1,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+BME680+PMSX003-B+PMSX003-A,35,7,-74,2836,304,15072,5,43.192066,-71.54151,288,3,0,0,0,100,100,100,67,68,66,76,76,77,1001.52,1001.19,1001.84,76.5,76.54,0,3.9,4.2,3.6,3.9,3.9,7.5,7.4,7.6,7.5,7.5,4.4,4.6,4.1,8.2,7.7,8.6,8.2,8.2,None,None,None,None,None,None,None,None,None,484,526,442,419,431,408,35,38,32,0,0,0,0,0,0,0,0,0,4.2,7.43,7.7,4.2,7.43,7.7,3.58,7.64,8.6,3.58,7.64,8.6,1784473,RECLPTF41NFVAGZS,1784475,F5P8XN29WYFV4N87,1784474,SX1Z89WJKRZTSAKK,1784476,7LDKL9Q9YP56VMU9,7.5,7.6,7.8,8.1,8.2,5,1,7/13/2022 8:30,7.5,7.6,7.8,8.1,8.2,5,1,7/13/2022 8:30,7.5,7.6,7.8,8.1,8.2,5,1,7/13/2022 8:30
V1.0.11-0.0.27,7/13/2022 8:30,7/13/2022 8:29,143456,5/7/2022 10:46,1/25/2022 17:50,7/13/2022 8:29,0,0,Junder22,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7,-78,32481,272,15672,5,43.08963,-71.50244,619,3,0,0,0,100,100,100,66,66,None,75,75,None,990.59,990.59,None,None,None,0.01,6.6,6.6,6.7,6.6,6.6,8.9,8.3,9.4,8.9,8.9,5.6,5.7,5.5,9.2,8.4,9.9,9.2,9.2,19.4,19.9,19,12,12.2,11.9,117,115.2,118.9,1296,1326,1267,355,347,364,51,52,51,2,1,3,0,0,0,0,0,0,6.55,8.31,8.36,6.55,8.31,8.36,6.7,9.4,9.94,6.7,9.4,9.94,1640321,DUQ1DHALIEN6DQPZ,1640325,6S4L2IFWG5GLNKG5,1640323,SJBIKJUCN4Z46AL6,1640326,GEK1ZZUK8JCHMIDW,8.9,8.8,9.2,9.6,10.6,8.1,5.8,7/13/2022 8:30,8.9,8.8,9.2,9.6,10.6,8.1,5.8,7/13/2022 8:30,8.9,8.8,9.2,9.6,10.6,8.1,5.8,7/13/2022 8:30
